11004,,,72-75,,,,LITTLE NECK,,,,,,,PKWY,,,,,,,,,,,,,,,,,63,,,GLENOAKS,,,,,,,MULTIPLE DWELLINGA,,,GARDENCOMPLEX,,,,,NON-EVICT COOP/CON8442,,,,,,,,1,,

11004,,,73-25,,,,LITTLE NECK,,,,,,,PKWY,,,,,,,,,,,,,,,,,63,,,GLENOAKS,,,,,,,MULTIPLE DWELLINGA,,,421-A (16),,,,,NON-EVICT COOP/CON8440,,,,,,,,1,,

11005,,,269-10,,,,GRAND CENTRAL,,,,,,,PKWY,,,,,,,,,,,,,,,,,63,,,FLORAL PARK,,,,,,,MULTIPLE DWELLINGA,,,421-A (1-15),,,,,NON-EVICT COOP/CON8489,,,,,,,,1,,

11005,,,270-10,,,,GRAND CENTRAL,,,,,,,PKWY,,,,,,,,,,,,,,,,,63,,,FLORAL PARK,,,,,,,MULTIPLE DWELLINGA,,,421-A (1-15),,,,,NON-EVICT COOP/CON8489,,,,,,,,1,,

11005,,,271-10,,,,GRAND CENTRAL,,,,,,,PKWY,,,,,,,,,,,,,,,,,63,,,FLORAL PARK,,,,,,,MULTIPLE DWELLINGA,,,421-A (1-15),,,,,NON-EVICT COOP/CON8489,,,,,,,,1,,

11101,,,44-72 TO 44-80,,,,11TH,,,,,,,ST,,,,,,,,,,,,,,,,,63,,,LONGISLAND CITY,,,,,,,MULTIPLE DWELLINGA,,,GARDENCOMPLEX,,,,,421-A (1-15),,,51,,,,,20,,

11101,,,46-09,,,,11TH,,,,,,,ST,,,,,,,,,,,,,,,,,63,,,LONGISLAND CITY,,,,,,,MULTIPLE DWELLINGA,,,GARDENCOMPLEX,,,,,421-A (1-15),,,55,,,,,20,,

11101,,,47-02,,,,11TH,,,,,,,ST,,,,,,,,,,,,,,,,,63,,,LONGISLAND CITY,,,,,,,MULTIPLE DWELLINGA,,,,,,,,,,,46,,,,,130,,

11101,,,47-38,,,,11TH,,,,,,,ST,,,,,,,,,,,,,,,,,63,,,LONGISLAND CITY,,,,,,,MULTIPLE DWELLINGA,,,,,,,,,,,45,,,,,25,,

11101,,,44-44,,,,21ST,,,,,,,ST,,,,,,,,,,,,,,,,,63,,,LONGISLAND CITY,,,,,,,MULTIPLE DWELLINGA,,,,,,,,,,,447,,,,,1,,

11101,,,44-73,,,,21ST,,,,,,,ST,,,,,,,,,,,,,,,,,63,,,LONGISLAND CITY,,,,,,,MULTIPLE DWELLINGA,,,,,,,,,,,78,,,,,2,,

11101,,,44-74,,,,21ST,,,,,,,ST,,,,,,,,,,,,,,,,,63,,,LONGISLAND CITY,,,,,,,MULTIPLE DWELLINGB,,,,,,,,,,,52,,,,,1,,

11101,,,45-05,,,,21ST,,,,,,,ST,,,,,,,,,,,,,,,,,63,,,LONGISLAND CITY,,,,,,,MULTIPLE DWELLINGA,,,,,,,,,,,77,,,,,57,,

11101,,,49-02,,,,21ST,,,,,,,ST,,,,,,,,,,,,,,,,,63,,,LONGISLAND CITY,,,,,,,MULTIPLE DWELLINGA,,,,,,,,,,,62,,,,,30,,

11101,,,41-15,,,,23RD,,,,,,,ST,,,,,,,,,,,,,,,,,63,,,LONGISLAND CITY,,,,,,,MULTIPLE DWELLINGA,,,GARDENCOMPLEX,,,,,421-A (1-15),,,413,,,,,16,,

11101,,,39-23,,,,24TH,,,,,,,ST,,,,,,,,,,,,,,,,,63,,,LONGISLAND CITY,,,,,,,MULTIPLE DWELLINGA,,,,,,,,,,,395,,,,,14,,

11101,,,39-25,,,,24TH,,,,,,,ST,,,,,,,,,,,,,,,,,63,,,LONGISLAND CITY,,,,,,,MULTIPLE DWELLINGA,,,,,,,,,,,395,,,,,12,,

11101,,,39-31,,,,24TH,,,,,,,ST,,,,,,,,,,,,,,,,,63,,,LONGISLAND CITY,,,,,,,MULTIPLE DWELLINGA,,,,,,,,,,,395,,,,,10,,

11101,,,39-44,,,,24TH,,,,,,,ST,,,,,,,,,,,,,,,,,63,,,LONGISLAND CITY,,,,,,,MULTIPLE DWELLINGA,,,,,,,,,,,394,,,,,42,,

11101,,,41-21,,,,24TH,,,,,,,ST,,,,,,,,,,,,,,,,,63,,,LONGISLAND CITY,,,,,,,MULTIPLE DWELLINGA,,,GARDENCOMPLEX,,,,,421-A (1-15),,,414,,,,,121,,

11101,,,41-22,,,,24TH,,,,,,,ST,,,,,,,,,,,,,,,,,63,,,LONGISLAND CITY,,,,,,,MULTIPLE DWELLINGA,,,421-A (1-15),,,,,,,,413,,,,,32,,

11101,,,41-29,,,,24TH,,,,,,,ST,,,,,,,,,,,,,,,,,63,,,LONGISLAND CITY,,,,,,,MULTIPLE DWELLINGA,,,GARDENCOMPLEX,,,,,421-A (1-15),,,414,,,,,117,,

11101,,,41-42,,,,24TH,,,,,,,ST,,,,,,,,,,,,,,,,,63,,,LONGISLAND CITY,,,,,,,MULTIPLE DWELLINGA,,,,,,,,,,,413,,,,,2,,

11101,,,42-20,,,,24TH,,,,,,,ST,,,,,23-01,,,,,42ND,,,,RD,,,63,,,LONGISLAND CITY,,,,,,,MULTIPLE DWELLINGA,,,421-A (1-15),,,,,,,,425,,,,,1,,

11101,,,37-15,,,,27TH,,,,,,,ST,,,,,,,,,,,,,,,,,63,,,LONGISLAND CITY,,,,,,,MULTIPLE DWELLINGA,,,,,,,,,,,369,,,,,7,,

11101,,,39-46,,,,27TH,,,,,,,ST,,,,,,,,,,,,,,,,,63,,,LONGISLAND CITY,,,,,,,MULTIPLE DWELLINGA,,,,,,,,,,,396,,,,,37,,

11101,,,41-32,,,,27TH,,,,,,,ST,,,,,,,,,,,,,,,,,63,,,LONGISLAND CITY,,,,,,,MULTIPLE DWELLINGA,,,GARDENCOMPLEX,,,,,,,,415,,,,,36,,

11101,,,42-10,,,,27TH,,,,,,,ST,,,,,,,,,,,,,,,,,63,,,LONGISLAND CITY,,,,,,,MULTIPLE DWELLINGA,,,421-A (16),,,,,,,,423,,,,,25,,

11101,,,42-16 TO 42-26,,,,27TH,,,,,,,ST,,,,,,,,,,,,,,,,,63,,,LONGISLAND CITY,,,,,,,MULTIPLE DWELLINGA,,,GARDENCOMPLEX,,,,,421-A (1-15),,,423,,,,,29,,

11101,,,42-43,,,,27TH,,,,,,,ST,,,,,,,,,,,,,,,,,63,,,LONGISLAND CITY,,,,,,,MULTIPLE DWELLINGA,,,,,,,,,,,431,,,,,12,,

11101,,,37-33,,,,28TH,,,,,,,ST,,,,,,,,,,,,,,,,,63,,,LONGISLAND CITY,,,,,,,MULTIPLE DWELLINGA,,,GARDENCOMPLEX,,,,,,,,370,,,,,1,,

11101,,,41-21,,,,28TH,,,,,,,ST,,,,,,,,,,,,,,,,,63,,,LONGISLAND CITY,,,,,,,MULTIPLE DWELLINGA,,,,,,,,,,,417,,,,,3,,

11101,,,42-12,,,,28TH,,,,,,,ST,,,,,42-15,,,,,27TH,,,,ST,,,63,,,LONGISLAND CITY,,,,,,,MULTIPLE DWELLINGA,,,GARDENCOMPLEX,,,,,421-A (1-15),,,422,,,,,7,,

11101,,,37-34,,,,29TH,,,,,,,ST,,,,,,,,,,,,,,,,,63,,,ASTORIA,,,,,,,MULTIPLE DWELLINGA,,,,,,,,,,,370,,,,,7501,,

11101,,,38-06 TO 38-08,,,,29TH,,,,,,,ST,,,,,,,,,,,,,,,,,63,,,ASTORIA,,,,,,,MULTIPLE DWELLINGA,,,,,,,,,,,385,,,,,17,,

11101,,,38-14,,,,29TH,,,,,,,ST,,,,,,,,,,,,,,,,,63,,,LONGISLAND CITY,,,,,,,MULTIPLE DWELLINGA,,,,,,,,,,,385,,,,,20,,

11101,,,38-32,,,,29TH,,,,,,,ST,,,,,,,,,,,,,,,,,63,,,LONGISLAND CITY,,,,,,,MULTIPLE DWELLINGA,,,,,,,,,,,385,,,,,28,,

11101,,,38-38,,,,29TH,,,,,,,ST,,,,,,,,,,,,,,,,,63,,,LONGISLAND CITY,,,,,,,MULTIPLE DWELLINGA,,,,,,,,,,,385,,,,,30,,

11101,,,39-21,,,,29TH,,,,,,,ST,,,,,,,,,,,,,,,,,63,,,LONGISLAND CITY,,,,,,,MULTIPLE DWELLINGA,,,,,,,,,,,399,,,,,12,,

11101,,,39-25,,,,29TH,,,,,,,ST,,,,,,,,,,,,,,,,,63,,,ASTORIA,,,,,,,MULTIPLE DWELLINGA,,,,,,,,,,,399,,,,,10,,

11101,,,41-18,,,,29TH,,,,,,,ST,,,,,,,,,,,,,,,,,63,,,LONGISLAND CITY,,,,,,,MULTIPLE DWELLINGA,,,,,,,,,,,417,,,,,28,,

11101,,,41-20,,,,29TH,,,,,,,ST,,,,,,,,,,,,,,,,,63,,,LONGISLAND CITY,,,,,,,MULTIPLE DWELLINGA,,,,,,,,,,,417,,,,,30,,

11101,,,41-24,,,,29TH,,,,,,,ST,,,,,,,,,,,,,,,,,63,,,LONGISLAND CITY,,,,,,,MULTIPLE DWELLINGA,,,,,,,,,,,417,,,,,32,,

11101,,,56-15 TO 56-27,,,,2ND,,,,,,,ST,,,,,,,,,,,,,,,,,63,,,LONGISLAND CITY,,,,,,,MULTIPLE DWELLINGA,,,ARTICLE 11,,,,,,,,6,,,,,7503,,

11101,,,37-05,,,,30TH,,,,,,,ST,,,,,,,,,,,,,,,,,63,,,LONGISLAND CITY,,,,,,,MULTIPLE DWELLINGA,,,421-A (16),,,,,,,,372,,,,,107,,

Source: 2023HCR BuildingRegistrationFile,,,,,,,,,,,,,,,,,,,,,,,https://rentguidelinesboard.cityofnewyork.us/resources/rent-stabilized-building-lists,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Page1of 172,,,
,,,,,,,,,,,,,,,,,,,,,,ListofQueens Buildings Containing StabilizedUnits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

ZIP,,,BLDGNO1,,,,STREET1,,,,STSUFX1,,,,BLDGNO2,,,,STREET2,,,,STSUFX2,,,,COUNTY,,,CITY,,,,,STATUS1,,,STATUS2,,,,,STATUS3,,BLOCK,,,,LOT,,

11101,,,38-11 TO 38-19,,,,31ST,,,,ST,,,,,,,,,,,,,,,,63,,,LONGISLAND CITY,,,,,MULTIPLE DWELLINGA,,,421-A (1-15),,,,,,,382,,,,11,,

11101,,,37-14,,,,32ND,,,,ST,,,,,,,,,,,,,,,,63,,,LONGISLAND CITY,,,,,MULTIPLE DWELLINGA,,,,,,,,,,373,,,,12,,

11101,,,38-12,,,,32ND,,,,ST,,,,,,,,,,,,,,,,63,,,LONGISLAND CITY,,,,,MULTIPLE DWELLINGA,,,421-A (1-15),,,,,,,382,,,,21,,

11101,,,37-25,,,,33RD,,,,ST,,,,,,,,,,,,,,,,63,,,LONGISLAND CITY,,,,,MULTIPLE DWELLINGA,,,421-A (1-15),,,,,,,375,,,,1,,

11101,,,37-11,,,,34TH,,,,AVE,,,,,,,,,,,,,,,,63,,,ASTORIA,,,,,MULTIPLE DWELLINGA,,,,,,,,,,655,,,,74,,

11101,,,37-17,,,,34TH,,,,AVE,,,,,,,,,,,,,,,,63,,,LONGISLAND CITY,,,,,MULTIPLE DWELLINGA,,,,,,,,,,655,,,,72,,

11101,,,41-06,,,,34TH,,,,AVE,,,,,,,,,,,,,,,,63,,,ASTORIA,,,,,MULTIPLE DWELLINGA,,,,,,,,,,674,,,,17,,

11101,,,41-16,,,,34TH,,,,AVE,,,,34-02,,,,42ND,,,,ST,,,,63,,,LONGISLAND CITY,,,,,MULTIPLE DWELLINGA,,,,,,,,,,674,,,,18,,

11101,,,42-07,,,,34TH,,,,AVE,,,,,,,,,,,,,,,,63,,,LONGISLAND CITY,,,,,MULTIPLE DWELLINGA,,,,,,,,,,690,,,,5,,

11101,,,42-15,,,,34TH,,,,AVE,,,,,,,,,,,,,,,,63,,,ASTORIA,,,,,MULTIPLE DWELLINGA,,,,,,,,,,690,,,,1,,

11101,,,43-01,,,,34TH,,,,AVE,,,,,,,,,,,,,,,,63,,,LONGISLAND CITY,,,,,MULTIPLE DWELLINGA,,,,,,,,,,691,,,,8,,

11101,,,43-03,,,,34TH,,,,AVE,,,,,,,,,,,,,,,,63,,,LONGISLAND CITY,,,,,MULTIPLE DWELLINGA,,,NON-EVICT COOP/CONDO,,,,,,,691,,,,7,,

11101,,,43-07,,,,34TH,,,,AVE,,,,,,,,,,,,,,,,63,,,ASTORIA,,,,,MULTIPLE DWELLINGA,,,,,,,,,,691,,,,6,,

11101,,,43-09,,,,34TH,,,,AVE,,,,,,,,,,,,,,,,63,,,LONGISLAND CITY,,,,,MULTIPLE DWELLINGA,,,,,,,,,,691,,,,5,,

11101,,,43-13,,,,34TH,,,,AVE,,,,,,,,,,,,,,,,63,,,LONGISLAND CITY,,,,,MULTIPLE DWELLINGA,,,,,,,,,,691,,,,3,,

11101,,,43-17,,,,34TH,,,,AVE,,,,,,,,,,,,,,,,63,,,LONGISLAND CITY,,,,,MULTIPLE DWELLINGA,,,,,,,,,,691,,,,2,,

11101,,,43-19,,,,34TH,,,,AVE,,,,,,,,,,,,,,,,63,,,LONGISLAND CITY,,,,,MULTIPLE DWELLINGA,,,,,,,,,,691,,,,1,,

11101,,,44-01,,,,34TH,,,,AVE,,,,,,,,,,,,,,,,63,,,LONGISLAND CITY,,,,,MULTIPLE DWELLINGA,,,,,,,,,,707,,,,3,,

11101,,,44-15,,,,34TH,,,,AVE,,,,,,,,,,,,,,,,63,,,LONGISLAND CITY,,,,,MULTIPLE DWELLINGA,,,,,,,,,,707,,,,1,,

11101,,,41-05,,,,35TH,,,,AVE,,,,,,,,,,,,,,,,63,,,ASTORIA,,,,,MULTIPLE DWELLINGA,,,,,,,,,,674,,,,39,,

11101,,,41-15,,,,35TH,,,,AVE,,,,,,,,,,,,,,,,63,,,LONGISLAND CITY,,,,,MULTIPLE DWELLINGA,,,,,,,,,,674,,,,38,,

11101,,,52-27,,,,35TH,,,,ST,,,,,,,,,,,,,,,,63,,,LONGISLAND CITY,,,,,MULTIPLE DWELLINGA,,,,,,,,,,304,,,,3,,

11101,,,53-24,,,,35TH,,,,ST,,,,,,,,,,,,,,,,63,,,ASTORIA,,,,,MULTIPLE DWELLINGA,,,,,,,,,,297,,,,35,,

11101,,,53-30,,,,35TH,,,,ST,,,,,,,,,,,,,,,,63,,,LONGISLAND CITY,,,,,MULTIPLE DWELLINGA,,,,,,,,,,297,,,,38,,

11101,,,37-14 TO 37-18,,,,36TH,,,,ST,,,,35-11,,,,NORTHERN,,,,BLVD,,,,63,,,LONGISLAND CITY,,,,,MULTIPLE DWELLINGA,,,,,,,,,,377,,,,23,,

11101,,,10-12,,,,37TH,,,,AVE,,,,,,,,,,,,,,,,63,,,LONGISLAND CITY,,,,,MULTIPLE DWELLINGB,,,,,,,,,,360,,,,20,,

11101,,,10-14,,,,37TH,,,,AVE,,,,,,,,,,,,,,,,63,,,LONGISLAND CITY,,,,,MULTIPLE DWELLINGA,,,GARDENCOMPLEX,,,,,,,360,,,,21,,

11101,,,27-10,,,,37TH,,,,AVE,,,,,,,,,,,,,,,,63,,,LONGISLAND CITY,,,,,MULTIPLE DWELLINGA,,,421-A (16),,,,,,,369,,,,14,,

11101,,,34-11,,,,37TH,,,,ST,,,,,,,,,,,,,,,,63,,,ASTORIA,,,,,MULTIPLE DWELLINGA,,,,,,,,,,645,,,,24,,

11101,,,34-15,,,,37TH,,,,AVE,,,,,,,,,,,,,,,,63,,,LONGISLAND CITY,,,,,MULTIPLE DWELLINGA,,,,,,,,,,634,,,,1,,

11101,,,34-25,,,,37TH,,,,ST,,,,,,,,,,,,,,,,63,,,ASTORIA,,,,,MULTIPLE DWELLINGA,,,,,,,,,,645,,,,19,,

11101,,,47-29,,,,37TH,,,,ST,,,,,,,,,,,,,,,,63,,,LONGISLAND CITY,,,,,MULTIPLE DWELLINGA,,,,,,,,,,228,,,,19,,

11101,,,47-31,,,,37TH,,,,ST,,,,,,,,,,,,,,,,63,,,LONGISLAND CITY,,,,,MULTIPLE DWELLINGA,,,,,,,,,,228,,,,18,,

11101,,,48-50,,,,37TH,,,,ST,,,,,,,,,,,,,,,,63,,,LONGISLAND CITY,,,,,MULTIPLE DWELLINGA,,,,,,,,,,236,,,,66,,

11101,,,24-16,,,,38TH,,,,AVE,,,,,,,,,,,,,,,,63,,,LONGISLAND CITY,,,,,MULTIPLE DWELLINGA,,,,,,,,,,388,,,,13,,

11101,,,25-10,,,,38TH,,,,AVE,,,,,,,,,,,,,,,,63,,,LONGISLAND CITY,,,,,MULTIPLE DWELLINGA,,,,,,,,,,387,,,,17,,

11101,,,25-11 TO 25-17,,,,38TH,,,,AVE,,,,,,,,,,,,,,,,63,,,LONGISLAND CITY,,,,,MULTIPLE DWELLINGA,,,421-A (1-15),,,,,,,368,,,,34,,

11101,,,28-17,,,,38TH,,,,AVE,,,,,,,,,,,,,,,,63,,,ASTORIA,,,,,MULTIPLE DWELLINGA,,,,,,,,,,370,,,,32,,

11101,,,28-18,,,,38TH,,,,AVE,,,,,,,,,,,,,,,,63,,,LONGISLAND CITY,,,,,MULTIPLE DWELLINGA,,,,,,,,,,385,,,,15,,

11101,,,29-06,,,,38TH,,,,AVE,,,,,,,,,,,,,,,,63,,,LONGISLAND CITY,,,,,MULTIPLE DWELLINGA,,,,,,,,,,384,,,,15,,

11101,,,30-16,,,,38TH,,,,AVE,,,,,,,,,,,,,,,,63,,,LONGISLAND CITY,,,,,MULTIPLE DWELLINGB,,,,,,,,,,383,,,,13,,

11101,,,32-01,,,,38TH,,,,AVE,,,,,,,,,,,,,,,,63,,,LONGISLAND CITY,,,,,MULTIPLE DWELLINGB,,,ROOMINGHOUSE,,,,,,,374,,,,3,,

11101,,,33-01 TO 33-19,,,,38TH,,,,AVE,,,,,,,,,,,,,,,,63,,,LONGISLAND CITY,,,,,MULTIPLE DWELLINGA,,,GARDENCOMPLEX,,,,,,,375,,,,33,,

11101,,,36-12,,,,38TH,,,,ST,,,,,,,,,,,,,,,,63,,,ASTORIA,,,,,MULTIPLE DWELLINGA,,,,,,,,,,637,,,,40,,

11101,,,36-16,,,,38TH,,,,ST,,,,,,,,,,,,,,,,63,,,ASTORIA,,,,,MULTIPLE DWELLINGB,,,,,,,,,,637,,,,42,,

11101,,,48-50,,,,38TH,,,,ST,,,,,,,,,,,,,,,,63,,,LONGISLAND CITY,,,,,MULTIPLE DWELLINGA,,,,,,,,,,232,,,,18,,

11101,,,50-35,,,,38TH,,,,ST,,,,,,,,,,,,,,,,63,,,LONGISLAND CITY,,,,,MULTIPLE DWELLINGA,,,,,,,,,,212,,,,8,,

11101,,,27-08,,,,39TH,,,,AVE,,,,,,,,,,,,,,,,63,,,LONGISLAND CITY,,,,,MULTIPLE DWELLINGA,,,GARDENCOMPLEX,,,,,,,397,,,,14,,

11101,,,27-14,,,,39TH,,,,AVE,,,,,,,,,,,,,,,,63,,,LONGISLAND CITY,,,,,MULTIPLE DWELLINGA,,,421-A (16),,,,,,,397,,,,17,,

11101,,,29-05,,,,39TH,,,,AVE,,,,,,,,,,,,,,,,63,,,LONGISLAND CITY,,,,,MULTIPLE DWELLINGA,,,,,,,,,,384,,,,1,,

11101,,,30-02 TO 30-18,,,,39TH,,,,AVE,,,,,,,,,,,,,,,,63,,,LONGISLAND CITY,,,,,MULTIPLE DWELLINGA,,,,,,,,,,400,,,,208,,

11101,,,13-09,,,,40TH,,,,AVE,,,,,,,,,,,,,,,,63,,,LONGISLAND CITY,,,,,MULTIPLE DWELLINGA,,,GARDENCOMPLEX,,,,,,,471,,,,693,,

11101,,,24-16,,,,40TH,,,,AVE,,,,,,,,,,,,,,,,63,,,LONGISLAND CITY,,,,,MULTIPLE DWELLINGA,,,,,,,,,,407,,,,26,,

11101,,,25-05,,,,40TH,,,,AVE,,,,,,,,,,,,,,,,63,,,LONGISLAND CITY,,,,,MULTIPLE DWELLINGA,,,,,,,,,,396,,,,2,,

11101,,,29-17,,,,40TH,,,,AVE,,,,,,,,,,,,,,,,63,,,LONGISLAND CITY,,,,,MULTIPLE DWELLINGA,,,421-A (16),,,,,,,399,,,,34,,

11101,,,23-01,,,,41ST,,,,AVE,,,,,,,,,,,,,,,,63,,,LONGISLAND CITY,,,,,MULTIPLE DWELLINGA,,,421-A (1-15),,,,,,,408,,,,7501,,

11101,,,23-10,,,,41ST,,,,AVE,,,,,,,,,,,,,,,,63,,,LONGISLAND CITY,,,,,MULTIPLE DWELLINGA,,,,,,,,,,413,,,,22,,

Source: 2023HCR BuildingRegistrationFile,,,,,,,,,,,,,,,,,,https://rentguidelinesboard.cityofnewyork.us/resources/rent-stabilized-building-lists,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Page2of 172,,,
,,,,,,,,,,,,,,,,,,,ListofQueens Buildings Containing StabilizedUnits,,,,,,,,,,,,,,,,,,,,,,,,,,,

ZIP,,,BLDGNO1,,,STREET1,,,,STSUFX1,,,,BLDGNO2,,,STREET2,,,STSUFX2,,COUNTY,,,CITY,,,,,STATUS1,,,STATUS2,,,,STATUS3,,,BLOCK,,,,LOT,,

11101,,,24-03,,,41ST,,,,AVE,,,,,,,,,,,,63,,,LONGISLAND CITY,,,,,MULTIPLE DWELLINGA,,,,,,,,,,407,,,,7,,

11101,,,34-05,,,41ST,,,,ST,,,,,,,,,,,,63,,,ASTORIA,,,,,MULTIPLE DWELLINGA,,,,,,,,,,674,,,,116,,

11101,,,34-07,,,41ST,,,,ST,,,,,,,,,,,,63,,,ASTORIA,,,,,MULTIPLE DWELLINGA,,,,,,,,,,674,,,,16,,

11101,,,34-09,,,41ST,,,,ST,,,,,,,,,,,,63,,,LONGISLAND CITY,,,,,MULTIPLE DWELLINGA,,,,,,,,,,674,,,,115,,

11101,,,34-13,,,41ST,,,,ST,,,,,,,,,,,,63,,,LONGISLAND CITY,,,,,MULTIPLE DWELLINGA,,,,,,,,,,674,,,,15,,

11101,,,34-16,,,41ST,,,,ST,,,,,,,,,,,,63,,,LONGISLAND CITY,,,,,MULTIPLE DWELLINGA,,,,,,,,,,673,,,,30,,

11101,,,34-19,,,41ST,,,,ST,,,,,,,,,,,,63,,,LONGISLAND CITY,,,,,MULTIPLE DWELLINGA,,,,,,,,,,674,,,,13,,

11101,,,34-21,,,41ST,,,,ST,,,,,,,,,,,,63,,,LONGISLAND CITY,,,,,MULTIPLE DWELLINGA,,,,,,,,,,674,,,,11,,

11101,,,34-23,,,41ST,,,,ST,,,,,,,,,,,,63,,,LONGISLAND CITY,,,,,MULTIPLE DWELLINGA,,,,,,,,,,674,,,,10,,

11101,,,34-26,,,41ST,,,,ST,,,,,,,,,,,,63,,,LONGISLAND CITY,,,,,MULTIPLE DWELLINGA,,,,,,,,,,673,,,,34,,

11101,,,34-27,,,41ST,,,,ST,,,,,,,,,,,,63,,,ASTORIA,,,,,MULTIPLE DWELLINGA,,,,,,,,,,674,,,,9,,

11101,,,34-29,,,41ST,,,,ST,,,,,,,,,,,,63,,,LONGISLAND CITY,,,,,MULTIPLE DWELLINGA,,,,,,,,,,674,,,,8,,

11101,,,34-33,,,41ST,,,,ST,,,,,,,,,,,,63,,,ASTORIA,,,,,MULTIPLE DWELLINGA,,,,,,,,,,674,,,,7,,

11101,,,34-35,,,41ST,,,,ST,,,,,,,,,,,,63,,,ASTORIA,,,,,MULTIPLE DWELLINGA,,,,,,,,,,674,,,,6,,

11101,,,34-38,,,41ST,,,,ST,,,,,,,,,,,,63,,,LONGISLAND CITY,,,,,MULTIPLE DWELLINGA,,,421-A (1-15),,,,,,,673,,,,38,,

11101,,,34-41,,,41ST,,,,ST,,,,,,,,,,,,63,,,ASTORIA,,,,,MULTIPLE DWELLINGA,,,,,,,,,,674,,,,4,,

11101,,,34-43,,,41ST,,,,ST,,,,,,,,,,,,63,,,LONGISLAND CITY,,,,,MULTIPLE DWELLINGA,,,,,,,,,,674,,,,3,,

11101,,,34-47,,,41ST,,,,ST,,,,,,,,,,,,63,,,LONGISLAND CITY,,,,,MULTIPLE DWELLINGA,,,,,,,,,,674,,,,1,,

11101,,,34-49,,,41ST,,,,ST,,,,,,,,,,,,63,,,LONGISLAND CITY,,,,,MULTIPLE DWELLINGA,,,,,,,,,,674,,,,42,,

