10451,,,135,,,E 149TH,,,ST,,,,,,,,,,,,,,,60,,,BRONX,,,,,MULTIPLE DWELLINGA,,,,,,,,,,,2352,,,,53,,

10451,,,143,,,E 149TH,,,ST,,,,,,,,,,,,,,,60,,,BRONX,,,,,MULTIPLE DWELLINGA,,,,,,,,,,,2347,,,,1,,

10451,,,286,,,E 149TH,,,ST,,,,,,,,,,,,,,,60,,,BRONX,,,,,MULTIPLE DWELLINGA,,,,,,,,,,,2330,,,,14,,

10451,,,288,,,E 149TH,,,ST,,,,,,,,,,,,,,,60,,,BRONX,,,,,MULTIPLE DWELLINGA,,,,,,,,,,,2330,,,,15,,

10451,,,295,,,E 149TH,,,ST,,,,,,,,,,,,,,,60,,,BRONX,,,,,MULTIPLE DWELLINGA,,,,,,,,,,,2331,,,,66,,

10451,,,271,,,E 150TH,,,ST,,,,,,,,,,,,,,,60,,,BRONX,,,,,MULTIPLE DWELLINGA,,,,,,,,,,,2410,,,,1,,

10451,,,292,,,E 150TH,,,ST,,,,,,,,,,,,,,,60,,,BRONX,,,,,MULTIPLE DWELLINGA,,,,,,,,,,,2331,,,,15,,

10451,,,298,,,E 150TH,,,ST,,,,,,,,,,,,,,,60,,,BRONX,,,,,MULTIPLE DWELLINGA,,,GARDENCOMPLEX,,,,,421-A (1-15),,,2331,,,,18,,

10451,,,315,,,E 150TH,,,ST,,,,,,,,,,,,,,,60,,,BRONX,,,,,MULTIPLE DWELLINGA,,,,,,,,,,,2410,,,,63,,

10451,,,317,,,E 150TH,,,ST,,,,,,,,,,,,,,,60,,,BRONX,,,,,MULTIPLE DWELLINGA,,,,,,,,,,,2410,,,,62,,

10451,,,321,,,E 150TH,,,ST,,,,,,,,,,,,,,,60,,,BRONX,,,,,MULTIPLE DWELLINGA,,,,,,,,,,,2410,,,,60,,

10451,,,339,,,E 150TH,,,ST,,,,,,,,,,,,,,,60,,,BRONX,,,,,MULTIPLE DWELLINGA,,,,,,,,,,,2410,,,,52,,

10451,,,150,,,E 151ST,,,ST,,,,,,,,,,,,,,,60,,,BRONX,,,,,MULTIPLE DWELLINGA,,,421-A (1-15),,,,,,,,2348,,,,15,,

10451,,,173 TO 177,,,E 151ST,,,ST,,,630 TO 638,,,,WALTON,,,,AVE,,,,60,,,BRONX,,,,,MULTIPLE DWELLINGA,,,,,,,,,,,2348,,,,53,,

10451,,,286,,,E 151ST,,,ST,,,,,,,,,,,,,,,60,,,BRONX,,,,,MULTIPLE DWELLINGA,,,,,,,,,,,2410,,,,18,,

10451,,,308,,,E 151ST,,,ST,,,,,,,,,,,,,,,60,,,BRONX,,,,,MULTIPLE DWELLINGA,,,,,,,,,,,2410,,,,27,,

10451,,,310,,,E 151ST,,,ST,,,,,,,,,,,,,,,60,,,BRONX,,,,,MULTIPLE DWELLINGA,,,,,,,,,,,2410,,,,28,,

10451,,,340,,,E 151ST,,,ST,,,,,,,,,,,,,,,60,,,BRONX,,,,,MULTIPLE DWELLINGA,,,,,,,,,,,2410,,,,40,,

10451,,,351,,,E 152ND,,,ST,,,,,,,,,,,,,,,60,,,BRONX,,,,,MULTIPLE DWELLINGA,,,,,,,,,,,2411,,,,142,,

10451,,,109,,,E 153RD,,,ST,,,700,,,,RIVER,,,,AVE,,,,60,,,BRONX,,,,,MULTIPLE DWELLINGA,,,,,,,,,,,2482,,,,1,,

10451,,,127 TO 137,,,E 157TH,,,ST,,,810,,,,GERARD,,,,AVE,,,,60,,,BRONX,,,,,MULTIPLE DWELLINGA,,,,,,,,,,,2474,,,,1,,

10451,,,415,,,E 157TH,,,ST,,,,,,,,,,,,,,,60,,,BRONX,,,,,MULTIPLE DWELLINGA,,,,,,,,,,,2379,,,,7,,

10451,,,419 TO 421,,,E 157TH,,,ST,,,,,,,,,,,,,,,60,,,BRONX,,,,,MULTIPLE DWELLINGA,,,,,,,,,,,2379,,,,32,,

10451,,,428 TO 430,,,E 157TH,,,ST,,,,,,,,,,,,,,,60,,,BRONX,,,,,MULTIPLE DWELLINGB,,,,,,,,,,,2378,,,,19,,

10451,,,303,,,E 158TH,,,ST,,,,,,,,,,,,,,,60,,,BRONX,,,,,MULTIPLE DWELLINGA,,,,,,,,,,,2418,,,,33,,

10451,,,327,,,E 158TH,,,ST,,,,,,,,,,,,,,,60,,,BRONX,,,,,MULTIPLE DWELLINGA,,,,,,,,,,,2418,,,,23,,

10451,,,370,,,E 158TH,,,ST,,,,,,,,,,,,,,,60,,,BRONX,,,,,MULTIPLE DWELLINGA,,,421-A (16),,,,,,,,2404,,,,12,,

10451,,,404,,,E 158TH,,,ST,,,,,,,,,,,,,,,60,,,BRONX,,,,,MULTIPLE DWELLINGA,,,,,,,,,,,2379,,,,7,,

10451,,,481 TO 503,,,E 158TH,,,ST,,,,,,,,,,,,,,,60,,,BRONX,,,,,MULTIPLE DWELLINGA,,,,,,,,,,,2364,,,,45,,

10451,,,185,,,E 159TH,,,ST,,,,,,,,,,,,,,,60,,,BRONX,,,,,MULTIPLE DWELLINGA,,,,,,,,,,,2459,,,,55,,

10451,,,306,,,E 159TH,,,ST,,,,,,,,,,,,,,,60,,,BRONX,,,,,MULTIPLE DWELLINGA,,,,,,,,,,,2418,,,,9,,

10451,,,314 TO 326,,,E 159TH,,,ST,,,,,,,,,,,,,,,60,,,BRONX,,,,,MULTIPLE DWELLINGA,,,,,,,,,,,2418,,,,33,,

10451,,,364,,,E 159TH,,,ST,,,,,,,,,,,,,,,60,,,BRONX,,,,,MULTIPLE DWELLINGA,,,,,,,,,,,2405,,,,9,,

10451,,,370,,,E 159TH,,,ST,,,,,,,,,,,,,,,60,,,BRONX,,,,,MULTIPLE DWELLINGA,,,,,,,,,,,2405,,,,13,,

10451,,,374,,,E 159TH,,,ST,,,,,,,,,,,,,,,60,,,BRONX,,,,,MULTIPLE DWELLINGA,,,,,,,,,,,2405,,,,14,,

10451,,,451,,,E 159TH,,,ST,,,824,,,,ELTON,,,,AVE,,,,60,,,BRONX,,,,,MULTIPLE DWELLINGA,,,,,,,,,,,2381,,,,43,,

10451,,,464,,,E 159TH,,,ST,,,,,,,,,,,,,,,60,,,BRONX,,,,,MULTIPLE DWELLINGA,,,,,,,,,,,2380,,,,48,,

10451,,,320,,,E 160TH,,,ST,,,,,,,,,,,,,,,60,,,BRONX,,,,,MULTIPLE DWELLINGA,,,,,,,,,,,2419,,,,13,,

10451,,,399,,,E 160TH,,,ST,,,,,,,,,,,,,,,60,,,BRONX,,,,,MULTIPLE DWELLINGA,,,GARDENCOMPLEX,,,,,,,,2407,,,,25,,

10451,,,407,,,E 160TH,,,ST,,,,,,,,,,,,,,,60,,,BRONX,,,,,MULTIPLE DWELLINGA,,,421-A (1-15),,,,,,,,2382,,,,37,,

10451,,,453,,,E 160TH,,,ST,,,,,,,,,,,,,,,60,,,BRONX,,,,,MULTIPLE DWELLINGA,,,,,,,,,,,2382,,,,39,,

10451,,,462 TO 464,,,E 160TH,,,ST,,,,,,,,,,,,,,,60,,,BRONX,,,,,MULTIPLE DWELLINGA,,,,,,,,,,,2381,,,,51,,

10451,,,181,,,E 161ST,,,ST,,,,,,,,,,,,,,,60,,,BRONX,,,,,MULTIPLE DWELLINGA,,,,,,,,,,,2460,,,,30,,

10451,,,361 TO 381,,,E 161ST,,,ST,,,370,,,,E 162ND,,,,ST,,,,60,,,BRONX,,,,,MULTIPLE DWELLINGA,,,,,,,,,,,2408,,,,1,,

10451,,,384 TO 386,,,E 161ST,,,ST,,,,,,,,,,,,,,,60,,,BRONX,,,,,MULTIPLE DWELLINGA,,,,,,,,,,,2407,,,,16,,

10451,,,406,,,E 161ST,,,ST,,,,,,,,,,,,,,,60,,,BRONX,,,,,MULTIPLE DWELLINGA,,,,,,,,,,,2382,,,,7502,,

10451,,,425 TO 431,,,E 161ST,,,ST,,,,,,,,,,,,,,,60,,,BRONX,,,,,MULTIPLE DWELLINGA,,,GARDENCOMPLEX,,,,,421-A (16),,,2383,,,,39,,

10451,,,500,,,E 161ST,,,ST,,,,,,,,,,,,,,,60,,,BRONX,,,,,MULTIPLE DWELLINGA,,,,,,,,,,,2365,,,,20,,

10451,,,501,,,E 161ST,,,ST,,,,,,,,,,,,,,,60,,,BRONX,,,,,MULTIPLE DWELLINGA,,,,,,,,,,,2366,,,,22,,

10451,,,505,,,E 161ST,,,ST,,,508,,,,E 162ND,,,,ST,,,,60,,,BRONX,,,,,MULTIPLE DWELLINGA,,,,,,,,,,,2366,,,,7501,,

10451,,,507,,,E 161ST,,,ST,,,,,,,,,,,,,,,60,,,BRONX,,,,,MULTIPLE DWELLINGA,,,,,,,,,,,2366,,,,37,,

10451,,,180,,,E 162ND,,,ST,,,,,,,,,,,,,,,60,,,BRONX,,,,,MULTIPLE DWELLINGA,,,,,,,,,,,2460,,,,10,,

10451,,,185,,,E 162ND,,,ST,,,,,,,,,,,,,,,60,,,BRONX,,,,,MULTIPLE DWELLINGA,,,J-51,,,,,,,,2461,,,,40,,

10451,,,280 TO 282,,,E 162ND,,,ST,,,,,,,,,,,,,,,60,,,BRONX,,,,,MULTIPLE DWELLINGA,,,GARDENCOMPLEX,,,,,,,,2421,,,,14,,

Source: 2023HCR BuildingRegistrationFile,,,,,,,,,,,,,,,https://rentguidelinesboard.cityofnewyork.us/resources/rent-stabilized-building-lists,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Page2of 130,,,
,,,,,,,,,,,,,,,,,,,,,,,,,ListofBronxBuildings Containing StabilizedUnits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

ZIP,,,BLDGNO1,,,STREET1,,,,,,STSUFX1,,,,BLDGNO2,,,,,STREET2,,,,,STSUFX2,,,,COUNTY,,,CITY,,,,,STATUS1,,,STATUS2,,,,,STATUS3,,,,BLOCK,,,,LOT,,

10451,,,284 TO 296,,,E 162ND,,,,,,ST,,,,,,,,,,,,,,,,,,60,,,BRONX,,,,,MULTIPLE DWELLINGA,,,J-51,,,,,SEC608,,,,2421,,,,7501,,

10451,,,287,,,E 162ND,,,,,,ST,,,,,,,,,,,,,,,,,,60,,,BRONX,,,,,MULTIPLE DWELLINGA,,,,,,,,,,,,2422,,,,54,,

10451,,,291,,,E 162ND,,,,,,ST,,,,,,,,,,,,,,,,,,60,,,BRONX,,,,,MULTIPLE DWELLINGA,,,GARDENCOMPLEX,,,,,,,,,2422,,,,52,,

10451,,,295,,,E 162ND,,,,,,ST,,,,,,,,,,,,,,,,,,60,,,BRONX,,,,,MULTIPLE DWELLINGA,,,J-51,,,,,,,,,2422,,,,50,,

10451,,,300,,,E 162ND,,,,,,ST,,,,,,,,,,,,,,,,,,60,,,BRONX,,,,,MULTIPLE DWELLINGA,,,GARDENCOMPLEX,,,,,,,,,2421,,,,22,,

10451,,,304,,,E 162ND,,,,,,ST,,,,,,,,,,,,,,,,,,60,,,BRONX,,,,,MULTIPLE DWELLINGA,,,GARDENCOMPLEX,,,,,,,,,2421,,,,24,,

10451,,,316,,,E 162ND,,,,,,ST,,,,,,,,,,,,,,,,,,60,,,BRONX,,,,,MULTIPLE DWELLINGA,,,ARTICLE 11,,,,,,,,,2421,,,,27,,

10451,,,369,,,E 162ND,,,,,,ST,,,,,,,,,,,,,,,,,,60,,,BRONX,,,,,MULTIPLE DWELLINGA,,,,,,,,,,,,2408,,,,33,,

10451,,,383,,,E 162ND,,,,,,ST,,,,912,,,,,COURTLANDT,,,,,AVE,,,,60,,,BRONX,,,,,MULTIPLE DWELLINGA,,,,,,,,,,,,2408,,,,52,,

10451,,,388 TO 390,,,E 162ND,,,,,,ST,,,,897 TO 911,,,,,MELROSE,,,,,AVE,,,,60,,,BRONX,,,,,MULTIPLE DWELLINGA,,,,,,,,,,,,2408,,,,17,,

10451,,,402,,,E 162ND,,,,,,ST,,,,,,,,,,,,,,,,,,60,,,BRONX,,,,,MULTIPLE DWELLINGA,,,,,,,,,,,,2383,,,,5,,

10451,,,424,,,E 162ND,,,,,,ST,,,,,,,,,,,,,,,,,,60,,,BRONX,,,,,MULTIPLE DWELLINGA,,,,,,,,,,,,2383,,,,15,,

10451,,,426,,,E 162ND,,,,,,ST,,,,,,,,,,,,,,,,,,60,,,BRONX,,,,,MULTIPLE DWELLINGA,,,,,,,,,,,,2383,,,,16,,

10451,,,430,,,E 162ND,,,,,,ST,,,,,,,,,,,,,,,,,,60,,,BRONX,,,,,MULTIPLE DWELLINGB,,,,,,,,,,,,2383,,,,18,,

10451,,,432 TO 450,,,E 162ND,,,,,,ST,,,,895,,,,,ELTON,,,,,AVE,,,,60,,,BRONX,,,,,MULTIPLE DWELLINGA,,,,,,,,,,,,2393,,,,7501,,

10451,,,443,,,E 162ND,,,,,,ST,,,,435,,,,,E 162ND,,,,,ST,,,,60,,,BRONX,,,,,MULTIPLE DWELLINGA,,,ARTICLE 11,,,,,,,,,2384,,,,7501,,

10451,,,180,,,E 163RD,,,,,,ST,,,,,,,,,,,,,,,,,,60,,,BRONX,,,,,MULTIPLE DWELLINGA,,,,,,,,,,,,2461,,,,16,,

10451,,,214,,,E 163RD,,,,,,ST,,,,,,,,,,,,,,,,,,60,,,BRONX,,,,,MULTIPLE DWELLINGA,,,,,,,,,,,,2454,,,,26,,

10451,,,225,,,E 163RD,,,,,,ST,,,,,,,,,,,,,,,,,,60,,,BRONX,,,,,MULTIPLE DWELLINGA,,,GARDENCOMPLEX,,,,,,,,,2446,,,,1,,

10451,,,237,,,E 163RD,,,,,,ST,,,,,,,,,,,,,,,,,,60,,,BRONX,,,,,MULTIPLE DWELLINGA,,,J-51,,,,,,,,,2446,,,,37,,

10451,,,272,,,E 163RD,,,,,,ST,,,,926A,,,,,MORRIS,,,,,AVE,,,,60,,,BRONX,,,,,MULTIPLE DWELLINGA,,,,,,,,,,,,2422,,,,10,,

10451,,,290,,,E 163RD,,,,,,ST,,,,,,,,,,,,,,,,,,60,,,BRONX,,,,,MULTIPLE DWELLINGA,,,,,,,,,,,,2422,,,,16,,

10451,,,312 TO 320,,,E 163RD,,,,,,ST,,,,,,,,,,,,,,,,,,60,,,BRONX,,,,,MULTIPLE DWELLINGA,,,J-51,,,,,,,,,2422,,,,26,,

10451,,,313,,,E 163RD,,,,,,ST,,,,,,,,,,,,,,,,,,60,,,BRONX,,,,,MULTIPLE DWELLINGA,,,421-A (1-15),,,,,,,,,2423,,,,54,,

10451,,,325,,,E 163RD,,,,,,ST,,,,,,,,,,,,,,,,,,60,,,BRONX,,,,,MULTIPLE DWELLINGA,,,,,,,,,,,,2423,,,,84,,

10451,,,361 TO 371,,,E 163RD,,,,,,ST,,,,,,,,,,,,,,,,,,60,,,BRONX,,,,,MULTIPLE DWELLINGA,,,,,,,,,,,,2424,,,,110,,

10451,,,488,,,E 163RD,,,,,,ST,,,,,,,,,,,,,,,,,,60,,,BRONX,,,,,MULTIPLE DWELLINGA,,,,,,,,,,,,2367,,,,1,,

10451,,,508,,,E 163RD,,,,,,ST,,,,,,,,,,,,,,,,,,60,,,BRONX,,,,,MULTIPLE DWELLINGA,,,,,,,,,,,,2367,,,,11,,

